,data
25226,hoa hải đằng đúng rồi e áo khoác hồng và áo trắng
25227,khách 1329 cái áo này nhiêu v shop
25228,khách 757 nước hoa guốc sữa tắm set xanh
25229,ngô huyềntrân còn đầm này và set quần này ko bạn ơi
25230,khách 117 em o i qua n na y co n szm k cho chi đo i ca i kha c nhe ca i qua n na y bi va n o ng ma c xa u la m
25231,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang dua can với"
25232,khách 732 này con ko e
25233,khách 13017 sáng ở mở ra vừa sỏ vào thì bị đứt dây e k để ý chỗ rách đó vừa nãy e khâu dây lại xong thì thấy chỗ đó bị rách ròi chị
25234,khách 9382 shop oi
25235,mình đặt set này màu hong dat mà trông hơi già
25236,khách 1629 alo
25237,goi lai cho em nha
25238,khách 5148 chị ơi
25239,"S ship nhầm mau cho mình mình , m dat tim mà giao hồng y , cho mình doi lai "
25240,"nay e nhận được hàng mà bực mình quá, đặtt chân váy nau den mà giao chân váy dập ly là sao "
25241,1247 đường 23 10 tp nha trang t khánh hoà xxxxx
25242,khách 1629 alo
25243,minh nhi xxxxx
25244,khách 10135 slo shop oi
25245,khách 1213 b ơi
25246,số đt nhận xxxxx người nhận cô tuyết
25247,khách 4254 bn ạ
25248,khách 9637 tổng ship luôn í
25249,"nay minh mới nhận hàng bên shop mà thay giao sai màu , shop xanh hoàng hôni lai cho e với"
25250,minh nhi con ma nay luôn k shop
25251,khách 854 bắt đầu
25252,khách 890 em cho chị dự bị cái 215 hay 189 nha
25253,khách 8431 ok c
25254,khách 5807 shop ơi
25255,"shop ơi váy này màu ca hoi em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
25256,khách 652 cái này còn ko cho c cái này nữa
25257,khách 3196 cho e hỏi ship bên mình nhiêu tiền vậy c
25258,hương giang khu nào về túi hột nữa v ạ
25259," cho em mani set khác dc k shop , set nay e k thich lam"
25260,khách 6034 mẫu nay ko có size lớn hả c
25261,khách 767 sđtxxxxx
25262,"sốp ơi, cho em đổi màu này lấy màu lan tím đc k , em k thích màu này cho lắm"
25263,khách 1055 e xin gia
25264,khách 1021 115k á chị
25265,khách 13047 ok
25266,loan phan xxxxx 59 kp7 phu o ng tho ng nha t biên hoà đồng nai
25267,Sao e đạt size xl mà shop giao size L cho e vậy
25268,"Ủa shop , em đặt mẫu hồng sao giao mẫu mòng két "
25269,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang màu nau tanin với"
25270,khách 1454 sz s
25271,khách 2527 còn cái này k e
25272,khách 5941 vai dep k ạ
25273,khách 2959 giá s ạ
25274,khách 9257 luật buôn bán ra ngoài sh mua ngta còn cho đổi trả trong vòng 3 ngày mà sao bên e ko cho đổi
25275,bữa s chốt set nâu đen cho e r mà sao h giao set nude v
25276,khách 728 mẫu này nhe em
25277,khách 3645 shop gọi lại giúp nhé
25278,khách 855 trước đây chị cũng không nói tự làm nút luôn gì quần dậy sao mặt dù mặt trog cũng phải coi cho được chứ
25279,khách 915 shop cho e hỏi là shop còn set nào kiểu như trên k ạ cho e xin vài mẫu e cảm ơn
25280,khách 6797 shop ơi
25281,em dạt set caro den đen mà shop giao gì kỳ v
25282,khách 5496 oke
25283,khách 10111 set này bao nhiêu vậy ạ
25284,tran lan get started
25285,Sao e đạt size l mà shop giao size m cho e vậy
25286,khách 756 chị chốt chot e với
25287,khách 644 mau nay con l k chị
25288,khách 10377 ok
25289,khách 4793 nhờ shop báo nvien gọi lại chốt đơn giúp mình với
25290,khách 987 dạ lấy luôn cho e
25291,khách 4753 chốt túi giúp mình ạ 1 vàng 1 đen
25292,khách 6904 ok
25293,khách 1579 shop ktra xem đơn hàng gửi về shop nhận được chưa
25294,"Ủa shop , em đặt mẫu vàng kim loại sao giao mẫu cam "
25295,khách 5033 shop oi e đổi bô đồ dc k
25296,nếu được e sẽ mang đến đổi trong chiều nay form này thật sự e k mang được về cả form và chất liệu sản phẩm
25297,khách 663 shop oi em chào shop
25298,vân lê l hết hả e
25299,khách 750 áo đo e đặt trên live
25300,khách 767 có chốt cho e k shop
25301,khách 9615 c ơi
25302,khách 8242 ok
25303,"hồng yi em dam nay mau reu dc k shop, mau nay ken da qua"
25304,khách 1122 aloooo shop ơi
25305,khách 766 còn hk shop
25306,khách 2959 alooooo
25307,khách 4229 vậy c gửi cho e 2 set kia đi ạ
25308,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hồng mà nay lại nhận mẫu vang này , shop ktra lại dùm e"
25309,khách 61 ko thay ben mình gọi sdt chot hang
25310,khách 771 vậy lấy chị áo xanh
25311,khách 6112 có size k ạ
25312,"shop ơi váy này màu tím em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
25313,khách 659 mẫu nay con ko e
25314,khách 11441 em oi
25315,"sop oi , nay minh nhạn hàng mà k đúng màu , shop mòng kéti lại cho m vơi"
25316,my my phạm có gì lên đơn mẫu đầm này cho mình nha vì bên bạn có đọc tên cho mình rồi đó mà do mình mới chở con đi học mà lại quên đem điện thoại nha
25317,khách 4667 ok
25318,lee hong đồng hồ này còn ko e cho chị với nha chị tặng ba chị
25319,khách 2845 dạ
25320,khách 494 để em mua lại sale á
25321,khách 7117 dạ e cảm ơn ạ
25322,khách 9667 ok em cho c màu xanh nha
25323,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang màu nâu đen với"
25324,khách 1629 s ib em sớm nha
25325,khách 1629 alo
25326,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hong sam mà nay lại nhận mẫu xanh này , shop ktra lại dùm e"
25327,khách 1090 còn sét này để mình nhé
25328,khách 3491 bùi thị oanhxxxxx trung tâm tiêm chủng vnvc đồng nai số 22 đoàn văn cự ptam hiệp thành phố biên hòa cảm ơn ạ
25329,"em mặc màu đỏ này k hợp lắm, cho e đổi sang màu vang dc k s"
25330,khách 11391 eh
25331,khách 822 c ơi
25332,khách 699 vậy giờ mình gửi hàng về cho shop nhé
25333,mình vẫn chưa nhận đc
25334,khách 4813 mình ko có kịp xem live có ai xả thì để cho mình
25335,khách 695 ok shop
25336,c muốn đổi 3 cái ngọc này e ơii
25337,"sóp ơi giao sai mầu cho e r, em đặt mầu cam giao màu nau sam thế ạ"
25338,khách 5943 ôk shop
25339,"nay e nhận được hàng mà bực mình quá, đặtt chân váy xanh lo mà giao chân váy dập ly là sao "
25340,khách 74 cho c sz s
25341,khách 4613 cái jum kia vải có vậy k ạ
25342,khách 1268 tks shop e thấy đồ shop đẹp nhưng chưa mua lần nào
25343,khách 2518 đầm mẫu mặc chị gửi hình này còn ko em
25344,khách 13080 oi
25345,khách 4044 shop ơi
25346,"cho em đổi mầu này lấy do son được k shop , e mặc k hợp"
25347,khách 6117 mẫu đang mặc nhiêu shop
25348,khách 728 đây nhe em
25349,khách 436 cam on nhieu nha chi dot sao e so k co may nay
25350,khách 7374 dạ e 55kg cao 165 mặc size nào ạ
25351,kim ngân nguyễn e cpn ao nguc den sz 34 k e
25352,khách 8816 đầm này có size ko
25353,khách 10752 bn e
25354,khách 444 dạo này inbox không trả lời ạ
25355,khách 3260 dạ
25356,khách 1579 tôi quan tâm đến mặt hàng này
25357,khách 6142 c chưa có chốt trên live xxxxx có cho c 1 đầm vàng l 1 đầm cam nhe
25358,yen nhu nguyen allo
25359,khách 8503 lấy xanh nha
25360,loan nguyễn cao 1m55
25361,khách 11191 alo
25362,khách 1013 hi em oi
25363,khách 593 e lấy set này nhưng quần size s nhé chứ eo e nhỏ lắm
25364,khách 744 xl hoa giấy xxxxx đc 66 trương hán siêu p rạch dừa tp vũng tàu
25365,khách 1629 alo
25366,khách 8634 đầm c mặc màu đỏ m giá nhiêu z
25367,khách 11840 uh e
25368,khách 937 mua nhieu lan lam ma kan nay thất vọng hàng quá
25369,khách 8707 shop ơi gọixxxxx chốt túi micky cho mh đi ah
25370,khách 876 24c ấp tân phú xã tân hoà thành phố vĩnh long xxxxx
25371,khách 947 z lâ y 1 ao somi 1 ao khoac
25372,khách 8763 e gửi trả lại shop nhé
25373,khách 1558 ok ạ
25374,khách 2538 cho em hỏi mẫu đỏ đó còn ko ạ chị hằng mẫu cao nặng bao nhiu vậy chị
25375,khách 2999 xin giá
25376,khách 804 tc 704k
25377,khách 2661 tính sai tiền cho c rồi
25378,khách 3366 cho e hỏi
25379,khách 785 mẫu này còn k ạ
25380,khách 794 đc thì thôi
25381,khách 8399 có mấy dây bạn sao mình thấy 1 dây thì cột kiểu sao
25382,hôm bữa mình đặt size XL mà giờ mình mặc thử chật eo quá chắc shop cho em đổi lại size s nha
25383,khách 771 với mâu này
25384,"shop ơi em đặt mẫu này màu xanh mà về trông hơi dừ , em đổi qua màu trắng đc k"
25385,khách 11288 chị ơi chốt e set này với
25386,khách 748 shop ơi
25387,khách 8518 nhớ để mình nha mình có đơn r á
25388,khách 1134 dạ ok ạ
25389,khách 349 chi ban e set hong dc ko
25390,crystal luu ok em
25391,khách 495 cái đầm này vừa rồi e mới nhận nó bị lỗi chị
25392,khách 10142 nhận dc nhắn lại dùm chị
25393,khách 8436 cho e đặt mẫu này
25394,khách 3188 c đã nhận đc váy đẹp lắm c cám ơn e nhiều
25395,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hồng mà nay lại nhận mẫu luc bao này , shop ktra lại dùm e"
25396,meo meo c đẹp e vẫn chưa nhận được túi đá mà chốt đơn cho em từ ngày 5 12 nè nay 13 rùi mà chưa có nhận được á buồn
25397,khách 8137 sét này có size ko ạ
25398,Khách 4368: Shop có ảnh thật khách mặc k ạ
25399,khách 732 đúng rồi e đơn này bạn chỉ tính tiền 1 hộp mứt
25400,khách 8541 sao chưa thấy gọi giao hàng ko bt shop có cho đi đơn chưa
25401,khách 5888 giá bn ạ
25402,khách 5299 dạ
25403,khách 786 trừ dơn e nhé
25404,khách 1042 sdtxxxxx
25405,khách 5128 e có mua ben shop bo sét 3mon shop có the đoi sdt cho e dc ko ah
25406,khách 7912 em ơi
25407,khách 13236 shop ơi s shop gửi cho e 2 bộ giống nhau luôn v
25408,"cho em đổi mầu này lấy xanh da trời được k shop , e mặc k hợp"
25409,khách 815 đầm mã 20 size m nhe
25410,khách 6317 và bao nhiêu ạ
25411,khách 1111 shop ơi cho e chốt mẫu này size m vs ạ
25412,khách 1313 m eo 68 mac sz nao b ui
25413,khách 13074 em
25414,khách 3201 ok shop ạ
25415,khách 738 ok mình ck luôn nha shop
25416,quy nhơnxxxxx
25417,"e ơi, chị vừa nhận đầm mà thấy màu này k hợp với c,cho do soni lấy xám đc kh e"
25418,an an alo dung xa đơn cua e
25419,khách 1802 coi tong cong bao nhieu tien roi bao chi
25420,khách 1390 em xin giá mẫu này ạ
25421,khách 945 bao nhiu ah
25422,khách 1061 chị nhận hàng bên em rồi
25423,khách 876 minh o vl ma
25424,"sóp ơi giao sai mầu cho e r, em đặt mầu cam giao màu xam thế ạ"
25425,khách 1377 lấy e
25426,khách 542 may mâu e gui con k
25427,khách 9586 dạ ok shop ạ
25428,khách 7709 ok shop
25429,khách 6843 chôt cho e bộ này v bộ hôm bũa còn đơn o đó gủi cho mình nha
25430,khách 771 gửi hàng cho chị đi
25431,khách 8416 sao kk thay ai goi chot don noi ak
25432,khách 3382 chị ơi đơn hàng đ c 3 42 hu ng vu o ng kho m 2 p6 tp so c tra ng sđtxxxxx cho em hủy đơn nha chị e có công việc gia đình em về quê
25433,khách 75 vân
25434,khách 733 lấy mình mẫu đầm sai l
25435,anna phan c lấy thêm mấy mẫu áo len này e cho c luôn nhé
25436,khách 988 hoa nhỏ sz 49ky 1m57 nhé em
25437,khách 4343 vâng shop
25438,"nay e nhận được hàng mà bực mình quá, đặtt chân váy xanh mà giao chân váy dập ly là sao "
25439,khách 1381 e chu a đa t qa live co n thi cho e sz cho ng 53kg ve 134 ho sen le n cha n ha i pho ngxxxxx
25440,khách 704 sđtxxxxx
25441,175 8 ấp 3 xã hiệp phước nhà bè tphcm
25442,khách 5960 cho e sdt lun ạ chiều e gửi lun
25443,nguyễn thùy get started
25444,khách 12915 sao k thay shop tra loi
25445,khách 726 shop oi
25446,khách 7693 mong chị rep giúp e ạ
25447,khách 12692 ok e
25448,khách 793 m09 e co chốt m
25449,khách 8175 hàng bên e rất đẹp
25450,khách 10170 ok ạ
25451,khách 8497 hi em
25452,khách 684 dạ
25453,Bữa shop chốt em màu do tham rồi sao nay lại gửi màu đỏ vậy
25454,khách 918 ko ổn tí nào
25455,khách 4804 bn bộ vậy
25456,khách 11184 tổng đơn bn e
25457,khách 743 bên mình còn sét này k shop
25458,khách 11965 có size k shop
25459,khách 1001 436 tu ng thie n vu o ng p13 q8 xxxxx
25460,khách 12002 còn thì gọi lại chốt đơn giúp e nha
25461,khách 1180 mẫu này có độ giản k ạ
25462,khách 5643 có ai đang online để chat không
25463,khách 10226 bạn cộng lại này sao ra đc 370 dùm mình nha
25464,khách 5390 ok em
25465,khách 1957 shop cho xin giá mẫu này
25466,khách 9326 dạ oke ci
25467,khách 3504 e xem đơn 31 8 chi đi chưa sao nay vẫn chưa thấy hàng
25468,Bữa shop chốt em màu xanh crôm rồi sao nay lại gửi màu đỏ vậy
25469,khách 9545 chị đặt cái áo tay trắng nền đen
25470,khách 3050 shop ơi e mới nhận dc hàng bên mình nhưng mà set váy đỏ dây kéo bị hư
25471,khách 2527 e oi
25472,"nay minh nhan hang mà sai m ben shop chat qua , m doi lai size xl dc k"
25473,"S ơi, gửi sai màu cho em rồii e đặt trắng gửi em màu bac v"
25474,khách 1133 giá s vậy c
25475,yen nhu nguyen ok doi minh chủ
25476,khách 12075 dạ
25477,khách 1664 chọn sz giúp e ạ
25478,khách 11191 đug rồi
25479,khách 403 còn đầm này ko ship c cái nha
25480,khách 1220 đầm này nhiu ạ
25481,khách 8958 check tn giùm đi shop ơi
25482,khách 3742 cho e xin dia chi ak
25483,khách 482 chưa
25484,khách 1253 sdt nữa e
25485,khách 710 đầm này còn ko e
25486,khách 470 hnay vẫn chưa nhận đi
25487,khách 10170 có đọc tên e nhưng k thấy ai gọi đt chốt đơn ạ
25488,"em cho chị đổi set do này lấy set trắng với , chị k ưng set do này"
25489,khách 945 alo e
25490,khách 2553 bn aj
25491,hoa hải đằng ok e
25492,khách 2825 chốt m sét này với
25493,khách 12094 c ơi check tn em với
25494,khách 5264 dạ
25495,khách 1418 con k shop oi
25496,khách 383 xử lý mọi vấn đề hang oi xxxxx xxxxx
25497,khách 762 e tìm lại còn xót cái nào k
25498,khách 704 mẫu khoác len này còn ko chị
25499,khách 499 lấy e 1 cái size m nữa nhé chị
25500,khách 5907 e cao m50 nặng 45kg mặc size nào vừa ạ
25501,"em mặc màu cam này k hợp lắm, cho e đổi sang màu mận dc k s"
25502,khách 9639 b oi
25503,khách 5148 dạ
25504,khách 811 alo
25505,khách 4128 dạ
25506,khách 4183 bạn k cần bán thì m k mua nữa
25507,"shop gui nham mau cho em r , em dat nude mà shop giao den"
25508,khách 5772 xin chào cho mình hỏi áo dài này có size gì và giá bnhieu vậy shop ơi
25509,khách 616 cho em hỏi mình còn mẫu này ko ạ
25510,khách 6143 giờ đặt thêm set giống v
25511,khách 879 alo shop oi
25512,kim di váy còn không shop
25513,khách 12422 c ơi gọi lại chốt đơn dùm e với ạ
25514,"Shop ơi size XL mình mặc hơi rộng ,cho m đổi lại size XL nha"
25515,khách 3201 c ơi hôm trước của em còn sót 1 set váy ôm áo sơm mi
25516,khách 710 ok đầm cũng đc e
25517,khách 233 chân váy màu như hình nhé shop
25518,yen nhu nguyen xxxxx
25519,khách 730 nhận được tiền chưa shop ơi
25520,khách 2370 dải ra sao vậy shop
25521,"Ủa shop , em đặt mẫu cẩm quỳ sao giao mẫu cam "
25522,khách 1696 cho mình hỏi set này giá bn ạ
25523,khách 1416 hi
25524,khách 1043 sdt xxxxx
25525,khách 4530 bao nhieu tien mot bo vay b
25526,huong nguyen thi e mua sai m
25527,khách 7644 cái này bn v chị ơi
25528,hunter citi áo nhe e
25529,khách 519 z thì lấy set xanh cũng được
25530,khách 710 còn màu này thôi hả e
25531,"nay e nhận được hàng mà bực mình quá, đặtt chân váy do son mà giao chân váy dập ly là sao "
25532,khách 11402 shop ơi
25533,khách 1313 48 đặng ma la phường kênh dương lê chân hải phòng
25534,khách 2527 ship c cái tím truoc i
25535,khách 941 bên mình còn váy này ko ạ
25536,khách 4705 mà nó rộng quá
25537,"cho em đổi mầu này lấy lan tim được k shop , e mặc k hợp"
25538,hôm bữa mình đặt size l mà giờ mình mặc thử chật eo quá chắc shop cho em đổi lại size XL nha
25539,khách 1591 cho e hỏi size l bên shop nhíu kg vừa ạ
25540,khách 12454 ktra r gọi lại cho c nhé
25541,khách 6095 vâng ạ
25542,khách 730 đầm này còn ko c
25543,khách 1379 trường mầm non ngôi nhà mơ ước
25544,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang da bo với"
25545,khách 3341 bnhieu kg thì vừa vậy shop
25546,khách 1381 còn thì gửi luôn về cho e 134 hồ sen lê chân hải phòng nhéxxxxx
25547,khách 2825 gọi chốt đơn cho m voi
25548,khách 11553 e cao 1m55 nă ng 47kg mă c sz na o thi đươ c vâ y shop
25549,"em mặc màu cam này k hợp lắm, cho e đổi sang màu màu da dc k s"
25550,khách 7764 nay hồi tối nói nhiu bn
25551,khách 720 bữa mình đặt quần sz l mà giao mình sz s đó
25552,khách 924 se t nay mau do con ko p
25553,khách 8788 gia bn e
25554,khách 3430 alo shop oi
25555,khách 13028 ko thấy shop gọi
25556,khách 735 c ck rồi nha e
25557,khách 1392 shop 2 bộ 1 mẫu v
25558,"Mầu hồng y này em thấy trên live nhạt mà về sáng quá , em đổi mầu khác nha shop"
25559,mỹ trang con set nay hok p
25560,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu da bo mà nay lại nhận mẫu xanh này , shop ktra lại dùm e"
25561,thanh tuyền mẫu này còn size l k chị
25562,khách 6119 shop oie
25563,tran thanh duyen mình lấy sét nay áo lông và quần xxxxx 56kg cao 1m57
25564,"shop gui nham mau cho em r , em dat da bo mà shop giao den"
25565,yen nhu nguyen alooo
25566,mỹ trang 3 đơn gần đây c toàn nhận hàng bị lỗi e nhắn mấy bạn chốt đơn kiểm hàng chắc dùm c xíu nha cảm ơn e
25567,"e ơi, chị vừa nhận đầm mà thấy màu này k hợp với c,cho chami lấy xám đc kh e"
25568,khách 3684 vậy lấy size m nha chị
25569,khách 570 con kh chi
25570,"S ship nhầm mau cho mình mình , m dat tim mà giao xanh berin , cho mình doi lai "
25571,minh nhi đơn hangxxxxx nai mới gọi chốt lấy size s cho c nhe mấy ban chưa ai gọi lại ca
25572,khách 822 mẫu này có lại chưa b ơi
25573,khách 4040 nhiêu vậy shop
25574,khách 792 còn màu nào nữa ko shop
25575,"shop gui nham mau cho em r , em dat xam mà shop giao den"
25576,khách 803 cho e xem hỏi vải quần bộ trên hình đó là gì ạ
25577,khách 362 e lấy váy này size s
25578,Bữa shop chốt em màu voi voi rồi sao nay lại gửi màu đỏ vậy
25579,khách 2514 mẫu này còn ko shop
25580,khách 10006 e gọi lại giúp c
25581,"S ship nhầm mau cho mình mình , m dat dong mà giao cam , cho mình doi lai "
25582,khách 3215 nay co c nao chốt đơn mà thiếu sét dạ
25583,khách 510 giá sao shop
25584,nhan ngoc nguyen bu a co cho t trên live em có a o na y ma k tha y go i a
25585,khách 13068 shop ơi
25586,khách 64 bên e còn áo này không
25587,mỹ trang bao nhiu
25588,shop 165k 165k 35k ship nha c
25589,khách 3979 dạ ok shop
25590,khách 1142 e lấy mẫu này vs mẫu 195k nha c
25591,"Shop oi, sao gửi nhầm size cho em v, e lấy size xl sao giao M"
25592,yen nhu nguyen allo
25593,khách 786 ok cảm ơn e
25594,khách 2322 1m62 57 cân 93 69 96 mặc size gì cậu
25595,khách 3611 c ơi
25596,khách 5738 e oi mẫu vàng này bnhiu
25597,khách 3323 dạ e cảm ơn c nhé
25598,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang lòng đào với"
25599,vân yên yên mình cmt nhưng k thấy chốt đơn đọc tên mình
25600,"S ship nhầm mau cho mình mình , m dat vang chanh mà giao cam , cho mình doi lai "
25601,khách 4544 giá nhiêu ạ
25602,mỹ trang mau nay ne e
25603,khách 3214 ib
25604,"dam nay size s rong qua e mạc k đc, shop cho e doi size m với"
25605,khách 892 dầm thêu này còn k e
25606,crystal luu uk
25607,khách 9308 nếu được chị đổi 2 cái này bù tiền bnh cũng được
25608,khách 2117 shop ơi chất vải này là gì vậy
25609,khách 4346 áo màu gì vậy ạ
25610,khách 3978 ok shop
25611,khách 3949 c nhận sét này bị lỗi hai ba chỗ luôn e oi
25612,khách 1318 2 mẫu e nhé nếu còn đt chị nhé
25613,"Shop giao sai màu cho e r, đặt màu hồng sao giao màu kaki"
25614,vân lê cho c 1 chai bbr nha e
25615,pham nhung cái set quà này còn k bn
25616,khách 897 vậy chị lấy cho em 2 mẫu này nhe
25617,khách 6082 set này có size k shop
25618,khách 947 set nay con k shop
25619,khách 1333 còn k c
25620,khách 12331 sao ko thấy gọi chốt đơn e
25621,khách 6402 okxxxxx
25622,khách 893 set ni giá bn ạ
25623,tuệ tâm tue ta mxxxxx so 678 to 14 a p phu my thu o ng xa phu tho huye n phu ta n ti nh an giang
25624,khách 2876 shop si sao a
25625,khách 673 liên hệ tư vấn viên
25626,khách 2497 chi gửi e áo màu j vậy
25627,khách 3234 vạy lấy size gi ạ
25628,khách 1181 có ai đang online để chat không
25629,khách 6069 vậy à chiều cao cân nă ng đó mă c sz nào là vư a
25630,khách 633 size m nha e
25631,khách 771 vậy chị chôt nè
25632,khách 1629 alo
25633,khách 2959 shop ơi
25634,khách 1498 còn set nay size m k ạ
25635,khách 985 còn ko e oixxxxx allo nhé
25636,sao e chốt set rêu -mà giao em set xanh crom v shop
25637,khách 12941 ủa chốt hàng mình 3 tuần sao k thấy gửi vậy
25638,sđt này phải của shop e hk
25639,van nguyen đâm đag mag gia bao nhieu
25640,kim di áo khoác bao nhiêu vậy shop
25641,khách 1142 shop ơi
25642,khách 282 shop o i đa m gu i cho mi nh bi lo i pha n tay mi nh co the đo i la i đc ko
25643,khách 2850 có size 42ki 1m58 k ạ
25644,khách 814 mình muốn mua mấy mẫu bày
25645,khách 9616 shop check tin nhắn giúp em với ạ
25646,khách 722 xem thử có dư cho m 1 áo 08 hồng nhé
25647,khách 8606 gọi lại đi
25648,"da boi em dam nay mau reu dc k shop, mau nay ken da qua"
25649,kh vì lí do nào đó ko nghe máy 1 lần là ko chốt hả shop ktra và rep dùm mình
25650,khách 5315 cho e xem chất vải ạ
25651,"sóp ơi giao sai mầu cho e r, em đặt mầu cam giao màu lan tím thế ạ"
25652,"Sốp giao nhầm mâux cho e r , em đạt set ngọc thạch mà giao set do"
25653,khách 13184 đầm này giá bao nhiêu vậy sop
25654,khách 12563 shop oi
25655,khách 692 cho c cái trắng nhé khi hôm c có chốt 2 đơn hàng face nguyễn thảoxxxxx e gộp đơn cho chị luôn nhé
25656,khách 9605 c mới nhận quần tây và áo ren nè bữa c cmt mãi cũng k dc chốt nhờ bạn chốt dùm mặc vừa y đẹp dể sợ
25657,khách 958 c lấy những set này nha bộ đồ hạc hồng trắng 135k
25658,"nay minh nhan hang mà size xl ben shop chat qua , m doi lai size XL dc k"
25659,"cho em đổi màu vang này lấy màu đỏ đc k , màu vang làm tối da quá"
25660,khách 6820 c ơi
25661,khách 6549 giá cái này bao nhieu tiền vậy
25662,mỹ trang gyyh
25663,khách 811 size m
25664,khách 1629 alo
25665,khách 1796 tư vấn from này cho minh
25666,khách 438 mẫu này mình còn size m ko ạ
25667,khách 6444 da ok em cám ơn chị
25668,tho nguyễn bill con chi nó choi bỏ roi e oi
25669,khách 8503 mới xé tới cái bao thấy tờ in đơn tên ng khác ạ
25670,khách 9667 cái đường may nó lệch nên mặc bị khó chịu nách áh
25671,khách 2513 c hỏi thử mẫu này còn ko
25672,khách 3743 da e dat tui chuot mau da ak
25673,khách 10077 ok
25674,khách 4123 cho hoi vay nay bn shop oi
25675,khách 2474 kiểu này còn màu da k e
25676,khách 12214 ok
25677,khách 153 e gọi k nghe máy c ơi
25678,khách 1381 c ơi set bộ này có đường chỉ gì mà sao k thấy
25679,khách 583 c la y size s xxxxx vo thi ye n va n
25680,khách 9723 đồ ok lắm c ơn shop nhìu nha
25681,khách 958 có e c lấy jum và set tím đó còn set yếm hết rồi mà
25682,"shop gui nham mau cho em r , em dat xanh mà shop giao mong ket"
25683,khách 750 ko có rêu thì gửi nâu nha
25684,"E đặt mầu tho hoang , shop giao lộn em màu vàng , đổi lại cho em với ạ"
25685,khách 954 c ơi inb e sỉ với
25686,khách 2527 ib giúp c e oi
25687,khách 2629 đúng r sh
25688,khách 768 mẫu này còn ko shop
25689,khách 3398 e không xem live đc c xem mẫu nào còn thì để cho e mai e gửi lại áo cho bên chị
25690,khách 1222 shop ơi
25691,khách 765 shoppp ơiiiiiiii
25692,khách 668 chị oi lay e 2cai nay nha
25693,"S ơi, gửi sai màu cho em rồii e đặt xanh thổ gửi em màu cam v"
25694,"S ơi, gửi sai màu cho em rồii e đặt trắng gửi em màu oải hương v"
25695,khách 663 liên hệ tư vấn viên
25696,khách 750 704
25697,khách 3659 hi e
25698,khách 666 xem dum c may mau nay con k cho di chung voi dam vàng sz mno tren luon dum c
25699,khách 9615 cho e xin giá với c
25700,khách 1342 c 49 kg á e
25701,khách 930 mình lấy nịt bụng 1s 1 l nha bạn
25702,khách 494 2 cái này ạ
25703,khách 747 da
25704,"nay minh mới nhận hàng bên shop mà thay giao sai màu , shop oai huongi lai cho e với"
25705,khách 958 nếu hết thì đee c ck 2 cái kia e giữ hàng c cho nhé
25706,khách 10448 da
25707,khách 6022 alo
25708,khách 781 chị gọi bên em mà không ai nghe máy em liên hệ lạixxxxx giùm chị nha
25709,khách 4436 1 đợt e mua 5 đầm thì bị 1 cái như vầy nek c ko sữa đk
25710,khách 6500 chị ơi
25711,còn thì điện chốt đơn cho e vớixxxxx fb minh thảo
25712,khách 10737 có size cho người 65kg k ạ
25713,"nay minh mới nhận hàng bên shop mà thay giao sai màu , shop san hôi lai cho e với"
25714,khách 979 đầm lá vàng size s nha shop
25715,khách 3423 c mới nhận dc hàng mà nó dính dơ quá e
25716,khách 2165 có size k ạ
25717,"shop ktra lại dùm e , e đặt set caro trắng bạc mà nay lại ship set nay cho e "
25718,khách 9845 shop ơi sao hôm trước shop gửi tới 2 bộ này cho mình dư 1 bộ rồi
25719,khách 2984 ok shop
25720,khách 4517 set này bao nhiêu ạ shop
25721,khách 814 bn ship e chịu được k
25722,khách 1055 còn ko
25723,khách 7375 dạ ok thanks c ạ
25724,mỹ trang c sửa 20k nhé
25725,"S ship nhầm mau cho mình mình , m dat luc bao mà giao cam , cho mình doi lai "
25726,khách 731 c dương bệnh viện lao và bệnh phổi khánh hoà
25727,"S ơi, gửi sai màu cho em rồii e đặt trắng gửi em màu san hô v"
25728,khách 472 váy này bên b còn k ai
25729,khách 958 ok e đây là 5 mẫu c lấy nha e
25730,khách 7654 đổi dùm mình mẫu này shop ơi
25731,"cho em đổi màu xám này lấy màu kaki đc k , màu xám làm tối da quá"
25732,khách 3979 het bao nhieu tien ạ
25733,khách 12566 c ơi s hơn 5ngày oy em chưa nhận dược hàng dó ạ
25734,"shop ơi váy này màu voi voi em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
25735,khách 781 mẫu này minh cao 1 50m nặng 42kg mặc rộng k vậy
25736,khách 949 dầm này có màu đen k ah bn vậy ah
